"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"95625","ELMIRA, CA","H",94,"H",775,"H",3678,7,"ELMIRA","CA","SOLANO"
"95626","ELVERTA, CA","H",235,"H",2869,"H",12762,61,"ELVERTA","CA","SACRAMENTO"
"95627","ESPARTO, CA","H",314,"H",4161,"H",17881,38,"ESPARTO","CA","YOLO"
"95628","FAIR OAKS, CA","G",7377,"G",70197,"G",312149,958,"FAIR OAKS","CA","SACRAMENTO"
"95629","FIDDLETOWN, CA","G",64,"H",522,"H",2375,13,"FIDDLETOWN","CA","AMADOR"
"95630","FOLSOM, CA","G",40170,"H",884654,"H",3400001,2468,"FOLSOM","CA","SACRAMENTO"
"95631","FORESTHILL, CA","G",371,"G",2686,"G",13689,91,"FORESTHILL","CA","PLACER"
"95632","GALT, CA","H",3784,"G",38636,"G",170006,449,"GALT","CA","SACRAMENTO"
"95633","GARDEN VALLEY, CA","G",183,"H",2334,"H",10941,43,"GARDEN VALLEY","CA","EL DORADO"
"95634","GEORGETOWN, CA","G",327,"G",2606,"G",11206,58,"GEORGETOWN","CA","EL DORADO"
"95635","GREENWOOD, CA","J",63,"G",625,"G",3024,18,"GREENWOOD","CA","EL DORADO"
"95636","GRIZZLY FLATS, CA","J",37,"J",352,"J",823,5,"GRIZZLY FLATS","CA","EL DORADO"
"95637","GUINDA, CA","G",9,"J",63,"J",296,3,"GUINDA","CA","YOLO"
"95638","HERALD, CA","G",153,"G",2564,"G",10383,37,"HERALD","CA","SACRAMENTO"
"95640","IONE, CA","G",1034,"G",13095,"G",55633,109,"IONE","CA","AMADOR"
"95641","ISLETON, CA","H",447,"J",17038,"H",51273,38,"ISLETON","CA","SACRAMENTO"
"95642","JACKSON, CA","G",4441,"G",53816,"G",223752,358,"JACKSON","CA","AMADOR"
"95645","KNIGHTS LANDING, CA","J",98,"J",883,"J",4366,21,"KNIGHTS LANDING","CA","YOLO"
"95646","KIRKWOOD, CA","H",155,"H",2407,"H",8416,14,"KIRKWOOD","CA","ALPINE"
"95648","LINCOLN, CA","G",10682,"G",122573,"G",528484,850,"LINCOLN","CA","PLACER"
"95650","LOOMIS, CA","H",5364,"H",64299,"G",292712,487,"LOOMIS","CA","PLACER"
"95651","LOTUS, CA","H",212,"H",1670,"H",10430,37,"LOTUS","CA","EL DORADO"
"95652","MCCLELLAN, CA","G",7959,"G",121087,"G",493088,136,"MCCLELLAN","CA","SACRAMENTO"
"95653","MADISON, CA","J",78,"J",1412,"J",6832,8,"MADISON","CA","YOLO"
"95654","MARTELL, CA","H",219,"H",1905,"H",8410,9,"MARTELL","CA","AMADOR"
"95655","MATHER, CA","H",4301,"H",94947,"H",402720,85,"MATHER","CA","SACRAMENTO"
"95656","MOUNT AUKUM, CA","J",20,"G",247,"H",836,6,"MOUNT AUKUM","CA","EL DORADO"
"95658","NEWCASTLE, CA","G",894,"G",10938,"G",53417,200,"NEWCASTLE","CA","PLACER"
"95659","NICOLAUS, CA","G",35,"G",360,"G",1512,11,"NICOLAUS","CA","SUTTER"
"95660","NORTH HIGHLANDS, CA","G",7031,"G",88142,"G",390461,570,"NORTH HIGHLANDS","CA","SACRAMENTO"
"95661","ROSEVILLE, CA","G",38441,"G",781705,"G",3125020,1891,"ROSEVILLE","CA","PLACER"
"95662","ORANGEVALE, CA","G",4617,"G",46359,"G",201730,614,"ORANGEVALE","CA","SACRAMENTO"
"95663","PENRYN, CA","G",517,"G",6025,"G",26968,68,"PENRYN","CA","PLACER"
"95664","PILOT HILL, CA","J",56,"H",1100,"H",4873,19,"PILOT HILL","CA","EL DORADO"
"95665","PINE GROVE, CA","G",403,"G",3524,"G",16744,79,"PINE GROVE","CA","AMADOR"
"95666","PIONEER, CA","G",275,"G",2088,"G",9496,62,"PIONEER","CA","AMADOR"
"95667","PLACERVILLE, CA","G",12539,"H",165758,"H",708087,969,"PLACERVILLE","CA","EL DORADO"
"95668","PLEASANT GROVE, CA","G",827,"G",16739,"G",73758,29,"PLEASANT GROVE","CA","SUTTER"
"95669","PLYMOUTH, CA","G",552,"G",4734,"G",22877,81,"PLYMOUTH","CA","AMADOR"
"95670","RANCHO CORDOVA, CA","G",36381,"G",949390,"G",3379747,1427,"RANCHO CORDOVA","CA","SACRAMENTO"
"95671","REPRESA, CA","J",34,"J",466,"J",2166,3,"REPRESA","CA","SACRAMENTO"
"95672","RESCUE, CA","H",529,"H",5490,"H",20603,83,"RESCUE","CA","EL DORADO"
"95673","RIO LINDA, CA","H",2650,"G",34047,"G",159885,243,"RIO LINDA","CA","SACRAMENTO"
"95674","RIO OSO, CA","G",108,"G",1472,"G",7399,17,"RIO OSO","CA","SUTTER"
"95675","RIVER PINES, CA","J",680,"J",10878,"J",47170,7,"RIVER PINES","CA","AMADOR"
"95676","ROBBINS, CA","H",20,"H",273,"H",1589,9,"ROBBINS","CA","SUTTER"
"95677","ROCKLIN, CA","G",12434,"G",190521,"G",775115,906,"ROCKLIN","CA","PLACER"
"95678","ROSEVILLE, CA","G",36800,"G",600375,"G",2613151,2050,"ROSEVILLE","CA","PLACER"
"95679","RUMSEY, CA","J",37,"J",352,"J",1567,5,"RUMSEY","CA","YOLO"
"95681","SHERIDAN, CA","G",169,"G",1833,"G",8496,27,"SHERIDAN","CA","PLACER"
"95682","SHINGLE SPRINGS, CA","G",6574,"G",78182,"G",349239,751,"SHINGLE SPRINGS","CA","EL DORADO"
"95683","SLOUGHHOUSE, CA","G",801,"G",10205,"G",41556,112,"SLOUGHHOUSE","CA","SACRAMENTO"
"95684","SOMERSET, CA","J",175,"H",1455,"H",7895,53,"SOMERSET","CA","EL DORADO"
